"","title","artist","top.genre","bpm","nrgy","dnce","live","val","dur","acous","spch","pop","country"
"840","Last Christmas","Wham!","new wave pop",108,48,74,36,95,263,19,3,85,"italy"
"841","Feliz Navidad","Jos� Feliciano","latin pop",149,86,49,35,96,182,53,4,85,"italy"
"842","You Make It Feel Like Christmas (feat. Blake Shelton)","Gwen Stefani","dance pop",93,87,64,12,91,157,2,4,85,"italy"
"843","It's Beginning to Look a Lot like Christmas","Michael Bubl�","adult standards",93,22,33,34,36,207,88,3,84,"italy"
"844","fuck 3x","tha Supreme","trap italiana",180,81,66,11,69,161,7,8,82,"italy"
"845","Holly Jolly Christmas","Michael Bubl�","adult standards",151,43,61,9,74,122,86,4,82,"italy"
"846","Happy Xmas (War Is Over)","C�line Dion","canadian pop",172,60,34,28,16,255,45,3,82,"italy"
"847","SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)","Marracash","italian hip hop",141,66,66,13,51,223,7,6,81,"italy"
"848","blun7 a swishland","tha Supreme","trap italiana",130,79,69,26,57,168,13,25,80,"italy"
"849","Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt","italian hip hop",120,73,75,19,27,208,1,7,80,"italy"
"850","CRUDELIA - I nervi","Marracash","italian hip hop",82,55,55,34,7,231,15,10,80,"italy"
"851","Soldi in Nero - feat. Sfera Ebbasta","Shiva","italian hip hop",158,66,75,17,35,184,15,28,79,"italy"
"852","Pookie (feat. Capo Plaza) - Remix","Aya Nakamura","basshall",98,62,84,10,51,188,6,13,78,"italy"
"853","sw1n6o - feat. Salmo","tha Supreme","trap italiana",170,83,57,79,79,184,12,9,78,"italy"
"854","m12ano - feat. Mara Sattei","tha Supreme","trap italiana",65,51,58,8,48,188,4,4,78,"italy"
"855","Chiasso","Random","italian hip hop",92,45,72,10,46,182,25,19,78,"italy"
"856","Santa Claus Is Comin' to Town","Frank Sinatra","adult standards",140,20,65,31,69,155,83,6,78,"italy"
"857","Bossoli","Shiva","italian hip hop",145,66,83,14,80,179,44,26,77,"italy"
"858","BRAVI A CADERE - I polmoni","Marracash","italian hip hop",95,69,61,10,28,200,16,10,77,"italy"
"859","Barrio","Mahmood","italian arena pop",122,70,80,11,57,165,6,7,77,"italy"
"860","Gigol� (feat. Sfera Ebbasta & Capo Plaza)","Lazza","italian hip hop",98,63,80,9,39,164,9,14,77,"italy"
"861","occh1 purpl3 - feat. Marracash","tha Supreme","trap italiana",134,81,66,16,55,188,9,16,77,"italy"
"862","Non Avere Paura","Tommaso Paradiso","italian arena pop",105,68,57,11,24,247,43,4,77,"italy"
"863","CHARLES MANSON (BUON NATALE2) (feat. Lazza) - feat. Dani Faiv, Nitro","Salmo","italian hip hop",120,83,72,44,48,258,1,21,76,"italy"
"864","Tutto Questo Sei Tu","Ultimo","italian pop",162,51,45,11,42,245,44,3,76,"italy"
"865","Una volta ancora (feat. Ana Mena)","Fred De Palma","italian arena pop",124,64,77,10,59,174,8,6,76,"italy"
"866","ch1 5ei te","tha Supreme","trap italiana",88,78,49,16,32,184,5,7,76,"italy"
"867","Santa Claus Is Coming to Town","Michael Bubl�","adult standards",123,40,59,4,42,172,79,5,75,"italy"
"868","GANG (feat. Geolier)","Samurai Jay","italian hip hop",95,46,80,21,58,162,4,24,75,"italy"
"869","Holly & Benji (feat. Capo Plaza & Shiva)","AVA","italian hip hop",78,79,42,11,50,220,1,27,74,"italy"
"870","ANSIA NO","FSK SATELLITE","italian hip hop",160,68,82,22,71,149,15,56,73,"italy"
"871","m8nstar","tha Supreme","trap italiana",165,76,58,11,44,165,5,4,73,"italy"
"872","Cin Cin","Alfa","italian arena pop",121,63,70,13,37,180,26,3,65,"italy"
"923","Dance Monkey","Tones and I","australian pop",98,59,82,15,51,209,69,9,100,"malasya"
"924","Memories","Maroon 5","pop",91,32,76,8,57,189,84,5,99,"malasya"
"925","ROXANNE","Arizona Zervas","pop rap",117,60,62,46,46,164,5,15,99,"malasya"
"926","Circles","Post Malone","dfw rap",120,76,70,9,55,215,19,4,99,"malasya"
"927","All I Want for Christmas Is You","Mariah Carey","dance pop",150,63,34,7,35,241,16,4,98,"malasya"
"928","everything i wanted","Billie Eilish","electropop",120,23,70,11,24,245,90,10,98,"malasya"
"929","Falling","Trevor Daniel","alternative r&b",127,43,78,9,24,159,12,4,97,"malasya"
"930","Don't Start Now","Dua Lipa","dance pop",124,79,79,10,68,183,1,8,97,"malasya"
"931","Lose You To Love Me","Selena Gomez","dance pop",102,34,51,21,9,206,58,4,97,"malasya"
"932","Someone You Loved","Lewis Capaldi","pop",110,41,50,11,45,182,75,3,96,"malasya"
"933","hot girl bummer","blackbear","pop",130,56,78,40,68,185,13,8,96,"malasya"
"934","Blinding Lights","The Weeknd","canadian contemporary r&b",171,80,51,9,35,202,0,6,96,"malasya"
"935","bad guy","Billie Eilish","electropop",135,43,70,10,56,194,33,38,96,"malasya"
"936","Santa Tell Me","Ariana Grande","dance pop",192,62,53,29,59,204,5,12,95,"malasya"
"937","Lucid Dreams","Juice WRLD","chicago rap",84,57,51,34,22,240,35,20,94,"malasya"
"938","How Do You Sleep?","Sam Smith","pop",111,68,48,8,35,202,15,9,93,"malasya"
"939","10,000 Hours (with Justin Bieber)","Dan + Shay","contemporary country",90,63,65,11,43,168,15,3,93,"malasya"
"940","Rockin' Around The Christmas Tree","Brenda Lee","adult standards",67,47,59,51,90,126,61,5,93,"malasya"
"941","Trampoline (with ZAYN)","SHAED","electropop",127,46,62,14,50,184,56,3,92,"malasya"
"942","Mistletoe","Justin Bieber","canadian pop",162,56,66,8,85,183,50,5,92,"malasya"
"943","Goodbyes (feat. Young Thug)","Post Malone","dfw rap",150,65,55,10,16,175,46,8,92,"malasya"
"944","Jingle Bell Rock","Bobby Helms","adult standards",120,42,75,7,81,131,64,4,92,"malasya"
"945","It's the Most Wonderful Time of the Year","Andy Williams","adult standards",202,60,24,12,78,152,77,4,92,"malasya"
"946","My Oh My (feat. DaBaby)","Camila Cabello","dance pop",105,49,72,9,38,171,2,3,91,"malasya"
"947","It's You","Ali Gatie","canadian hip hop",96,46,73,19,40,213,37,3,90,"malasya"
"948","No Idea","Don Toliver","rap",128,61,66,22,35,154,56,10,90,"malasya"
"949","Se�orita","Shawn Mendes","canadian pop",117,55,76,8,75,191,4,3,89,"malasya"
"950","Mean It","Lauv","pop",96,45,75,17,34,233,4,9,89,"malasya"
"951","Into the Unknown","Idina Menzel","hollywood",145,41,32,14,27,195,85,4,88,"malasya"
"952","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","dfw rap",90,52,76,7,93,158,53,6,88,"malasya"
"953","Falling","Harry Styles","dance pop",110,27,57,9,6,240,84,3,88,"malasya"
"954","Lover (Remix) [feat. Shawn Mendes]","Taylor Swift","pop",205,60,45,9,42,221,43,6,88,"malasya"
"955","I.F.L.Y.","Bazzi","pop",105,52,81,13,55,166,38,4,87,"malasya"
"956","Adore You","Harry Styles","dance pop",99,77,68,10,57,207,2,5,87,"malasya"
"957","Boy With Luv (feat. Halsey)","BTS","k-pop",120,86,65,19,80,230,9,10,87,"malasya"
"958","Watermelon Sugar","Harry Styles","dance pop",95,82,55,34,56,174,12,5,86,"malasya"
"959","Beautiful People (feat. Khalid)","Ed Sheeran","pop",93,65,64,8,55,198,12,19,86,"malasya"
"960","comethru","Jeremy Zucker","pop",94,18,80,62,61,182,61,6,86,"malasya"
"961","Last Christmas","Wham!","new wave pop",108,48,74,36,95,263,19,3,85,"malasya"
"962","It's Beginning to Look a Lot like Christmas","Michael Bubl�","adult standards",93,22,33,34,36,207,88,3,84,"malasya"
"963","Takeaway","The Chainsmokers","electropop",100,51,53,10,35,210,13,3,83,"malasya"
"964","Holly Jolly Christmas","Michael Bubl�","adult standards",151,43,61,9,74,122,86,4,82,"malasya"
"965","Before You Go","Lewis Capaldi","pop",112,57,46,9,18,215,60,6,82,"malasya"
"966","I Love You 3000","Stephanie Poetri","indonesian pop",90,38,65,39,41,210,91,4,79,"malasya"
"967","Psycho","Red Velvet","k-pop",140,67,66,9,41,211,19,4,75,"malasya"
"968","Feelings","Lauv","pop",103,47,69,10,25,190,9,4,73,"malasya"
"969","Mimpi (feat. Alif)","K-Clique","malaysian indie",150,73,83,10,87,253,53,29,66,"malasya"
"970","Cinta Luar Biasa","Andmesh","indonesian pop",136,23,58,10,32,256,81,3,66,"malasya"
"971","Haa Tepok","MeerFly","malaysian hip hop",87,50,85,15,68,211,66,31,65,"malasya"
"972","Hanya Rindu","Andmesh","indonesian pop",179,16,28,11,20,252,89,3,65,"malasya"
